Code,Si/Do,시군구,City_Name,Si/Gun,Smart_City,1st_SC (U-City & LH_SC service in Transport & Security),2nd_SC (Multiple SC service),SC_Ordinance,RE,RE_B,RE_E,SG,CI,ES_Ave,ES1,EC2,EC3,EC4,EC5,Elec_HPS,TB,ER,Population, Business ,FIR,GRDP,Car,UA,RA,CA,IA,GA,Road,F_Culture,F_Research,Hospitals,Waste
11000,Seoul,서울특별시,Seoul,Metropolitan ,2,"마곡 (07~12), 은평뉴타운 (08~11), u-city(시범도시)","마곡2(07~18, SH)",2009,512676 ,0.006%,0.003%,6 ,37 ,3.540 ,4.13 ,4.33 ,3.66 ,3.04 ,2.55 ,44563008 ,0.01%, 4 ,"4,189,839"," 820,156 ",84.7," 344,426,006 "," 3,083,007 ",100.0,52.2,4.3,3.69,39.81,"88,300,681",96,22,21,0.97
26000,Busan,부산광역시,Busan,Metropolitan ,1,"U-city(시범도시, 도시계획)",,2018,190993 ,0.005%,0.004%,1 ,1 ,3.562 ,3.97 ,4.20 ,3.65 ,3.20 ,2.79 ,13232851 ,0.00%, 2 ,"1,451,270"," 283,554 ",60.1,81263509.00 ," 1,295,316 ",88.3,15.3,2.7,6.80,58.12,"58,454,922",34,8,12,0.96
27000,Daegu,대구광역시,Daegu,Metropolitan ,1,"대구혁신(06~16), 테크노폴리스(06~15)",,2018,2741871 ,0.015%,0.010%,2 ,0 ,3.490 ,3.71 ,4.16 ,3.90 ,3.01 ,2.68 ,9354063 ,0.51%, 3 ,"994,220"," 205,319 ",57.1," 49,757,726 "," 1,130,811 ",64.0,15.2,2.3,5.12,77.41,"58,617,293",11,6,7,1.19
28000,Incheon,인천광역시,Incheon,Metropolitan ,2,"인천송도u-city(09~13), U-city(기반조성)",인청청라(06~14),2014,2150917 ,0.004%,0.001%,9 ,12 ,3.490 ,3.87 ,4.28 ,3.68 ,3.07 ,2.56 ,10864656 ,0.36%, 4 ,"1,171,399","191,566",67.0," 80,859,230 "," 1,437,373 ",47.4,20.4,4.0,11.06,49.73,"68,495,661",58,8,8,0.81
29000,Gwangju,광주광역시,Gwangju,Metropolitan ,1,U-city(기반조성사업),, -   ,907635 ,0.082%,0.044%,0 ,7 ,3.440 ,3.58 ,3.58 ,3.60 ,3.68 ,2.77 ,5436702 ,0.14%, 3 ,"586,464","116,046",51.5," 32,516,321 "," 633,375 ",100.0,17.7,1.9,5.33,75.03,"34,471,020",19,0,3,0.85
30000,Daejeon,대전광역시,Daejeon,Metropolitan ,2,,대전도안(03~15),2014,1639284 ,0.017%,0.016%,3 ,1 ,3.361 ,3.59 ,4.15 ,3.39 ,2.89 ,2.79 ,6798047 ,0.66%, 2 ,"606,137","113,228",55.0," 35,944,729 "," 648,084 ",100.0,14.4,1.8,2.87,80.91,"36,533,427",15,3,5,1.08
31000,Ulsan,울산광역시,Ulsan,Metropolitan ,1,울산혁신(07~16),, -   ,4244012 ,0.015%,0.004%,1 ,6 ,3.559 ,3.60 ,4.23 ,3.71 ,3.33 ,2.94 ,5781385 ,0.00%, 3 ,"455,352","82,948",72.2," 72,197,266 "," 538,720 ",52.2,8.9,1.0,5.07,68.13,"48,152,894",19,5,1,1.36
36000,Sejong,세종특별자치시,Sejong,Metropolitan ,2,,, -   ,0 ,0.022%,0.004%,0 ,0 ,3.389 ,3.18 ,4.28 ,3.64 ,3.23 ,2.60 ,994918 ,0.64%, 2 ,"94,343","90,672",59.0," 9,192,000 "," 110,419 ",9.1,20.0,3.9,5.1,70.22,"29,088,747",15,8,3,0.73
41110,Gyeonggi,수원시,Suwon-si,Si,2,"광교신도시(06~11), 유비쿼터스 도시계획",수원호매실(06~15),2013,57285 ,0.003%,0.000%,0 ,5 ,3.344 ,3.70 ,4.40 ,3.84 ,3.27 ,1.51 ,4802454 ,0.00%, 2 ,"472,194"," 70,004 ",60.9," 27,419,993 "," 475,847 ",100.0,36.8,4.8,3.4,55.0,"15,527,750",27,6,2,1.04
41130,Gyeonggi,성남시,Seongnam-si,Si,2,유비쿼터스 도시계획,성남판교 (03~11),2010,57734 ,0.023%,0.007%,0 ,1 ,3.385 ,3.88 ,4.51 ,3.90 ,3.15 ,1.48 ,4553848 ,0.00%, 3 ,"394,087"," 63,969 ",61.9," 24,923,284 "," 332,798 ",100.0,20.8,3.6,1.3,74.2,"13,531,088",2,1,0,0.90
41150,Gyeonggi,의정부시,Uijeongbu-si,Si,1,"의정부민락2(06~16), U-city(기반조성), 유비쿼터스 도시계획",, -   ,24124 ,0.008%,0.000%,0 ,0 ,3.454 ,3.95 ,4.54 ,4.11 ,3.27 ,1.41 ,1550981 ,0.00%, 2 ,"175,948"," 25,940 ",34.1," 6,779,964 "," 144,118 ",100.0,20.7,1.9,0.5,76.9,"7,198,868",3,0,0,0.86
41170,Gyeonggi,안양시,Anyang-si,Si,3,,, -   ,33442 ,0.004%,0.000%,0 ,0 ,3.486 ,3.94 ,4.49 ,3.98 ,3.38 ,1.65 ,2128488 ,0.00%, 2 ,"225,163"," 44,767 ",54.4," 15,699,206 "," 209,151 ",100.0,28.7,3.6,5.5,62.2,"6,211,814",4,0,1,0.83
41190,Gyeonggi,부천시,Bucheon-si,Si,1,U-city(시범도시),,2018,37661 ,0.002%,0.000%,1 ,4 ,3.386 ,3.90 ,4.51 ,3.88 ,3.18 ,1.46 ,2714692 ,0.00%, 3 ,"331,797"," 59,833 ",47.5," 15,621,200 "," 294,966 ",100.0,43.2,6.4,8.5,41.9,"8,797,074",6,0,2,0.67
41210,Gyeonggi,광명시,Gwangmyeong-si,Si,1,유비쿼터스 도시계획,,2010,19387 ,0.005%,0.000%,0 ,0 ,3.520 ,4.05 ,4.44 ,4.04 ,3.51 ,1.56 ,956355 ,0.00%, 2 ,"127,461"," 18,679 ",46.9," 6,086,261 "," 106,736 ",100.0,24.2,3.9,0.3,71.5,"5,124,801",7,0,1,0.72
41220,Gyeonggi,평택시,Pyeongtaek-si,Si,1,평택소사벌(06~15),,2011,51992 ,0.006%,0.000%,0 ,2 ,3.303 ,3.32 ,4.51 ,3.99 ,3.17 ,1.52 ,2819469 ,0.00%, 2 ,"195,970"," 34,000 ",46.2," 22,089,610 "," 228,762 ",61.2,26.6,4.1,19.9,49.4,"18,291,077",1,3,3,0.87
